Restaurant Name,Pai Northern Thai Kitchen
Total Reviews,(3.9k reviews)

Reviewer,Rating,Review Text
Perfect D.,5 star rating,"P2 Thai Chicken Wings - The chicken wings were okay, quite fragrant.
P3 Chef Nuit's Pad Thai - The stir-fried noodles were on the sour side, not highly recommended.
P4 Pad Gra Prow - The best dish! We chose mild spicy, which wasn't spicy at all.
P5 Khao Soi - Golden noodles, very delicious, the coconut milk flavor permeated the noodles, and the meat was quite tender.
P6 Pad See Ew - It tasted like wide rice noodles, delicious! We chose beef and extra shrimp.
P7 Coconut Sorbet - Coconut milk ice cream, not bad, a little too sweet, and had a little bit of coconut meat.
Mango Sticky Rice - The mango sticky rice was average, nothing particularly delicious.
P8 Thai Iced Tea - A little sweet and a little too sweet.
Fresh Coconut Water - Very refreshing and fresh coconut water.
Compared to other Thai restaurants in Toronto, this one was the best!"
Annie L.,5 star rating,"The top rated Thai restaurant and the Michelin stars is well deserved!

The wait can be long! For 2 people it was 30-40 min wait, not including waiting in line to sign in. Do not take reservations for small groups.

Ordered Spring Rolls, Pad See Ew, and Pad Thai. All dishes were really good. Spring rolls had more mushroom taste, but lightly fried. Pad See Ew had great flavor, not too oily or salty, and had great quality of beef. Chicken pad Thai had balances sweet, sour, and savory notes. Portions were generous, but expect to pay over $25 per plate. Mango Sticky rice good not great, since mango was super ripe to add sweetness. Plenty of coconut ""sauce"" to flavor the rice.

Spring Rolls 4/5
Pad See Ew 5/5
Pad Thai 5/5
Mango Sticky Rice 4/5"
Hazel P.,4 star rating,"Food 5/5
Service 4/5
Ambiance 4/5

Food: I've heard so much about how great the food is here. I came here for a corporate dinner & I wasn't disappointed. We had spring rolls & garlic chicken as appetizers. Everyone ordered their own main. I ordered the Beef Pad Thai with some modifications for my food allergies & preferences. The pad thai was really delicious & filling! Well, maybe because I had the appetizers too. LOL. In any case I enjoyed my food & couldn't finish it all. So I took the rest home in a small container. We didn't have any dessert because we were full!

Service: I came early to make sure we didn't lose our table & was seated right away. I ordered appetizers so when everyone came they would have something to eat while the main dishes were being cooked. The main dishes actually came pretty fast after we ordered them. Our waitstaff were two different ladies & they were very nice & efficient.

Ambiance: The decor is very kitschy. There were paper lanterns hanging from the ceiling. And the door to the bathroom is a rustic wooden door. The tables are basic & chairs all had different colours. I don't mind the decor but it's very casual so not the best for a corporate dinner if you want something fancy. Also the music was quite loud. So it was hard to have a conversation.

I like the food here & it's in a convenient spot. It's just really loud & casual. Also there isn't much space between the tables so if the restaurant is full it could feel squishy! I would come back here again to try some different dishes."
Sarina Z.,4 star rating,"Started off with the shrimp chips, which were incredibly crispy and flavorful, the portion was generous and great for sharing. For the main course, the beef pad see ew arrived piping hot; although it was a little on the saltier side, the flavor was amazing, and I loved the chili oil on the side.

The highlight of the meal was the mango sticky rice. They nailed the mango-to-rice ratio, which is something many places that have this dessert struggle with. Service was super attentive and friendly throughout the evening."
Roya G.,5 star rating,"Every time we come to Pai it is a special occasion, and every time we celebrate our special occasion here, we have a wonderful time. The restaurant always reads our request to celebrate a birthday/whatever it is that we are celebrating. Food is delicious and authentic. Some top dishes are the khao soi, and the pad see ew. Both are dceent sized portions and visually stunning!

The restaurant itself is so fun with its vibes and decoration. As well, staff are always so friendly. This restaurant, and its sister restaurants, are truly something special that we are so happy to have in our city!"
Casey Lyn B.,5 star rating,"We were referred to try this spot, and this spot did not disappoint! This place is poppin' so I recommend to make sure you put in a reservation! Ambiance is soooo many things and it really fit the vibe. Despite this location being very busy, our waiter served as very attentively and we got our food a reasonable time.

I got the Pad Gra Prow w/ ground beef and it was very delicious!

I would highly recommend this spot!"
Heather I.,5 star rating,"Pai was highly recommended by a friend and it has the cutest date night vibes. My hubby said that he could see us coming there more often for date nights if we were in the area. Lanterns were hung up all over the restaurant and it was quite spacious considering how tiny it looked on the outside.

We ordered the Pad Thai, the minced pork rice dish and two guava juices. Everything was very tasty. We ordered our dishes mild, just because we can't handle spice too well.

The service was exceptional too! We waited maybe 25 minutes on a Sunday night to be seated. Our waiter was extremely friendly, asking us about our day, told us about some recs and answered all of our questions.

We will definitely have to visit again when we're back in Toronto!"
Tyler S.,5 star rating,"Amazing food, and it was served extremely quickly once we got a table. There was a bit of a delay getting a table due to it being crowded, but it was definitely worth it. Fun feel inside."
Ivana L.,4 star rating,"This is the uptown North York location, there is a downtown location that for Michelins guide.

Food was okay- but what we ordered with platter some curries - it didn't seem like anything special- wok stuff didn't really taste special.

Nice Friday night vibes.

Washroom is clean and unique individual non gender specific individual stalls with to ceiling privacy and individual sink."
Audrey A.,5 star rating,"I've been here a few times. The Thai Fried Rice with Beef is so tasty and soft. You could practically inhale it, it's so easy to eat. My friend ordered Chef Nuit's Pad Thai with Beef, medium spicy. It was so delicious with a bit of a kick but not too spicy. The Squash Fritters are also very good. Addictive. The Garlic Shrimp was crispy and juicy. Loved them. The Mango Slaw is refreshing. The atmosphere is dark with lanterns and cool art. The service is friendly and speedy. Highly recommend."
